aX,aY,aZ,gX,gY,gZ
2.315,1.622,0.338,100.769,-117.249,-29.358
2.229,1.652,0.630,125.000,-128.296,-43.945
2.084,1.571,0.911,129.578,-119.995,-65.857
1.938,1.428,1.099,110.718,-87.830,-89.905
1.780,1.293,1.113,71.411,-36.316,-115.662
1.649,1.170,0.968,22.888,22.156,-141.602
1.534,1.031,0.728,-20.874,75.195,-165.283
1.447,0.870,0.490,-52.490,110.535,-185.486
1.367,0.685,0.296,-67.749,124.390,-198.120
1.329,0.497,0.156,-69.275,121.582,-202.271
1.305,0.302,0.131,-64.514,110.596,-201.233
1.227,0.045,0.164,-57.312,92.834,-193.665
1.171,-0.212,0.160,-48.889,73.120,-178.162
1.170,-0.391,0.185,-48.157,59.387,-158.142
1.144,-0.452,0.229,-54.871,47.302,-139.587
1.027,-0.503,0.239,-58.105,39.429,-124.756
1.056,-0.548,0.272,-50.903,42.786,-117.126
0.999,-0.706,0.177,-32.837,45.837,-108.459
0.993,-0.847,0.152,-10.071,50.842,-95.764
1.006,-0.932,0.130,7.019,56.274,-79.163
1.055,-0.976,0.135,17.395,60.730,-59.326
1.074,-1.002,0.119,23.254,62.439,-39.490
1.103,-1.007,0.121,25.452,62.256,-21.057
1.023,-1.037,0.055,21.790,60.791,-3.174
0.967,-1.045,0.007,11.597,62.744,12.756
0.946,-0.990,-0.029,-4.395,65.247,28.931
0.917,-0.886,-0.068,-24.292,66.284,45.715
0.865,-0.764,-0.106,-40.894,60.669,59.937
0.853,-0.621,-0.063,-49.927,49.744,71.716
0.702,-0.543,-0.131,-53.528,33.569,82.764
0.635,-0.442,-0.106,-52.063,25.696,88.806
0.598,-0.297,-0.069,-47.668,20.569,92.102
0.546,-0.162,-0.050,-39.673,14.099,92.041
0.531,-0.063,-0.049,-25.574,6.775,86.670
0.529,-0.003,-0.033,-7.507,1.465,75.928
0.477,0.029,0.010,9.888,-4.089,62.134
0.406,0.047,0.003,22.583,-8.484,48.584
0.344,0.072,-0.021,29.358,-8.789,39.429
