aX,aY,aZ,gX,gY,gZ
-0.816,0.266,0.404,-2.502,11.902,2.441

0.965,0.394,-1.361,-56.213,-90.759,-51.819
0.971,0.331,-1.462,-55.054,-115.234,-58.350
0.893,0.264,-1.487,-48.035,-146.301,-60.791
0.772,0.184,-1.460,-44.006,-180.725,-62.256
0.643,0.144,-1.424,-49.072,-212.708,-63.721
0.527,0.124,-1.362,-63.416,-242.859,-63.904
0.441,0.213,-1.276,-88.074,-269.348,-61.890
0.312,0.359,-1.192,-113.708,-295.044,-59.753
0.130,0.497,-1.082,-125.610,-322.144,-58.594
-0.063,0.595,-0.971,-123.840,-343.079,-58.594
-0.190,0.665,-0.846,-111.450,-353.271,-59.692
-0.280,0.655,-0.702,-90.637,-356.750,-59.387
-0.350,0.530,-0.497,-64.758,-358.948,-56.702
-0.450,0.354,-0.256,-43.030,-355.225,-50.171
-0.558,0.242,-0.079,-31.921,-340.454,-38.513
-0.607,0.207,0.020,-29.053,-317.017,-22.461
-0.668,0.265,0.087,-28.381,-296.448,-6.409
-0.699,0.327,0.112,-29.053,-289.124,-1.038
-0.769,0.419,0.073,-35.095,-288.574,-10.986
-0.787,0.514,-0.012,-46.814,-295.715,-29.846
-0.762,0.592,-0.006,-58.533,-321.106,-55.115
-0.819,0.679,0.055,-68.970,-362.671,-81.238
-1.022,0.840,0.189,-68.848,-410.950,-101.624
-1.360,0.886,0.452,-43.762,-450.195,-113.647
-1.701,0.852,0.919,10.010,-465.393,-120.544
-2.005,0.576,1.413,74.707,-452.820,-122.559
-2.203,0.157,1.764,124.146,-414.307,-119.568
-2.147,-0.219,1.938,132.874,-351.135,-115.051
-1.948,-0.346,1.826,92.651,-278.015,-111.206
-1.738,-0.257,1.429,27.466,-225.708,-111.755
-1.618,-0.167,1.124,-34.363,-216.736,-126.709
-1.502,-0.085,0.949,-85.876,-238.220,-151.611
-1.501,0.013,0.889,-116.028,-269.958,-167.786
-1.655,0.091,0.994,-95.276,-305.847,-159.302
